code	*Id	*Enabled	func1	stat1	set1	val1	func2	stat2	set2	val2	func3	stat3	set3	val3	func4	stat4	set4	val4	func5	stat5	set5	val5	func6	stat6	set6	val6	func7	stat7	set7	val7	uiRangeType	*Tooltip	*Parameter	*Min	*Max	*Notes	*eol
total-ac%-cap	633	1	1	armor_override_percent_cap																																	0
charge-noconsume-cap	634	1	1	item_charge_noconsume_cap																																	0
strpercent-cap	635	1	1	strengthpercent_cap																																	0
dexpercent-cap	636	1	1	dexteritypercent_cap																																	0
vitpercent-cap	637	1	1	vitalitypercent_cap																																	0
enepercent-cap	638	1	1	energypercent_cap																																	0
passive-summ-elemental-resist-cap	639	1	1	passive_summ_elemental_resist_cap																																	0
passive-summ-life-cap	640	1	1	passive_summ_life_cap																																	0
passive-summ-phys-resist-cap	641	1	1	passive_summ_phys_resist_cap																																	0
extra-fire-cap	642	1	1	passive_fire_mastery_cap																																	0
extra-ltng-cap	643	1	1	passive_ltng_mastery_cap																																	0
extra-cold-cap	644	1	1	passive_cold_mastery_cap																																	0
extra-pois-cap	645	1	1	passive_pois_mastery_cap																																	0
pierce-fire-cap	646	1	1	passive_fire_pierce_cap																																	0
pierce-ltng-cap	647	1	1	passive_ltng_pierce_cap																																	0
pierce-cold-cap	648	1	1	passive_cold_pierce_cap																																	0
pierce-pois-cap	649	1	1	passive_pois_pierce_cap																																	0
pierce-mag-cap	650	1	1	passive_mag_pierce_cap																																	0
pierce-dmg-cap	651	1	1	passive_dmg_pierce_cap																																	0
item-skill-cooldown-cap	652	1	1	item_skill_cooldown_cap																																	0
extra-mag2-cap	653	1	1	passive_mag2_mastery_cap																																	0
extra-wind-cap	654	1	1	passive_wind_mastery_cap																																	0
extra-summ-cap	655	1	1	passive_summ_mastery_cap																																	0
life-on-striking-cap	656	1	1	lifeonstriking_cap																																	0
mana-on-striking-cap	657	1	1	manaonstriking_cap																																	0
stance-dance-control	658	1	1	stancedancecontrol																																	0
opalvein-ed-control	659	1	1	opalveined																																	0
opalvein-spell-control	660	1	1	opalveinspell																																	0
gem-master	661	1	1	gemmaster																																	0
